,title,date,location,year,used,kms,import,style,gearBox,fuelEngine,exterior,interior,seats,doors,motivated,url
9340,Xe Toyota Wigo 1.2 AT 2021- 359 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Ngọc  Điện thoại:     Địa chỉ: 52 Lương Định Của, P An Khánh, Tp Thủ Đức TP HCM   Xem gian hàng  ⇨",2021,Xe đã dùng,"24,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-wigo-1.2-at-2021-5283001
9341,Xe Kia Morning SLX 1.0 AT 2008- 115 Triệu,Đăng ngày 10/11/2023. Xem 16 lượt,"Hợp Nhất Auto  Điện thoại:  0975 046 869   Địa chỉ: Khu tái định cư Nguyễn Mậu Tài, Trâu Quỳ, Gia Lâm Hà Nội  Website: hopnhatauto.bonbanh.com",2008,Xe đã dùng,0 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.0 L,Bạc,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-morning-slx-1.0-at-2008-5238802
9342,Xe Hyundai Kona 1.6 Turbo 2018- 525 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Độ Vân Auto  Điện thoại:  0974 677 999   Địa chỉ: 321 Phạm Văn Đồng, Xuân Đỉnh, Quận Bắc Từ Liêm Hà Nội  Website: dovanauto.bonbanh.com",2018,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-kona-1.6-turbo-2018-5125065
9343,Xe Hyundai Accent 1.4 AT 2023- 476 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Hyundai Đông Sài Gòn 3S  Điện thoại:  0983 737 756   Địa chỉ: 409 Nguyễn Văn Bá, P. Trường Thọ, Tp. Thủ Đức TP HCM  Website: hyundaidongsaigon3s.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-accent-1.4-at-2023-5097274
9344,Xe Ford Ranger XLS 2.0L 4x2 AT 2023- 620 Triệu,Đăng ngày 10/11/2023. Xem 5 lượt,Trần Mạnh Tuấn  Điện thoại:     Địa chỉ: Thành Phố Hà Nội Hà Nội   Xem gian hàng  ⇨,2023,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-xls-2.0l-4x2-at-2023-5100601
9345,Xe Toyota Fortuner 2.8V 4x4 AT 2023- 1 Tỷ 423 Triệu,Đăng ngày 10/11/2023. Xem 9 lượt,"Toyota Nam Định  Điện thoại:  0967 575 885   Địa chỉ: Đường Nam Định, Phủ Lý, Xã Lộc Hòa, Thành Phố Nam Định Nam Định  Website: toyotanamdinh.bonbanh.com",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Dầu  2.8 L,Đen,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-fortuner-2.8v-4x4-at-2023-2022288
9346,Xe Mitsubishi Triton 4x2 AT 2023- 588 Triệu,Đăng ngày 10/11/2023. Xem 5 lượt,"Mitsubishi Việt Hùng  Điện thoại:  0971 389 415   Địa chỉ: 936 Quang Trung, Phường Yên Nghĩa, Quận Hà Đông Hà Nội  Website: mitsubishiviethung.bonbanh.com",2023,Xe mới,,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mitsubishi-triton-4x2-at-2023-5194131
9347,Xe Mitsubishi Pajero Sport 2.4D 4x2 AT 2019- 780 Triệu,Đăng ngày 10/11/2023. Xem 8 lượt,"Bách Khoa Auto  Điện thoại:  0981 526 688   Địa chỉ: 39 Nguyễn Văn Huyên kéo dài, Cầu Giấy Hà Nội  Website: bachkhoaauto.bonbanh.com",2019,Xe đã dùng,"70,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.4 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-pajero-sport-2.4d-4x2-at-2019-5265688
9348,Xe Honda HRV RS 2023- 830 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,Thành Long  Điện thoại:     Địa chỉ: Hà Nội Hà Nội,2023,Xe mới,,Nhập khẩu,Crossover,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-honda-hrv-rs-2023-5276512
9349,Xe VinFast Lux A 2.0 Premium 2.0 AT 2019- 589 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,Mr.trung  Điện thoại:      Hoặc  0904 646 663    Địa chỉ: Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2019,Xe đã dùng,"15,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-vinfast-lux_a_2.0-premium-2.0-at-2019-5282116
9350,Xe LandRover Range Rover HSE 3.0 2014- 2 Tỷ 390 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Nguyễn Hoàng Sơn  Điện thoại:     Địa chỉ: 210 Võ Chí Công,Xuân La,Tây Hồ Hà Nội   Xem gian hàng  ⇨",2014,Xe đã dùng,"50,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2014-5286650
9351,Xe Toyota Hilux 2.8L 4x4 AT 2021- 880 Triệu,Đăng ngày 10/11/2023. Xem 6 lượt,"Toyota Thái Hoà Used Car  Điện thoại:  0922 216 969    Hoặc  0912 911 922    Địa chỉ: Tố Hữu, Quận Nam Từ Liêm Hà Nội  Website: toyotathaihoausedcar.bonbanh.com",2021,Xe đã dùng,"37,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.8 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-hilux-2.8l-4x4-at-2021-5285556
9352,Xe Hyundai Mighty 75s xe thùng inox 2022- 722 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Hyundai Ninh Bình  Điện thoại:  0986 630 062   Địa chỉ: Lô C5,  KCN Gián Khẩu, Huyện Gia Viễn Ninh Bình  Website: hyundai-ninhbinh.bonbanh.com",2022,Xe mới,,Lắp ráp trong nước,Truck,Số tay,Dầu,Trắng,,3 chỗ,2 cửa,,https://bonbanh.com/xe-hyundai-mighty-75s-xe-thung-inox-2022-3939705
9353,Xe BMW 7 Series 730Li 2016- 1 Tỷ 750 Triệu,Đăng ngày 10/11/2023. Xem 10 lượt,"Auto Trúc Anh  Điện thoại:  0962 226 268    Hoặc  0989 333 699    Địa chỉ: Số 115 Lê Văn Lương, Thanh Xuân Hà Nội  Website: autotrucanh.bonbanh.com",2016,Xe đã dùng,"50,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-bmw-7_series-730li-2016-5260959
9354,Xe Mercedes Benz S class S450 Luxury 2022- 5 Tỷ 379 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Mercedes-benz Vietnam Star Hoàn Kiếm  Điện thoại:  0946 365 522   Địa chỉ: Số 5 Lê Thánh Tông, P. Phan Chu Trinh, Q. Hoàn Kiếm Hà Nội  Website: mercedesvietnamstar-hanoi.bonbanh.com",2022,Xe mới,,Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-s_class-s450-luxury-2022-4260518
9355,Xe Mercedes Benz E class E300 AMG 2021- 2 Tỷ 199 Triệu,Đăng ngày  9/11/2023. Xem 6 lượt,"MBA Auto Việt Nam  Điện thoại:  0702 000 222    Hoặc  0908 905 611    Địa chỉ: 93 Lý Phục Man, Bình Thuận, Quận 7 TP HCM  Website: mbaauto.bonbanh.com",2021,Xe đã dùng,"33,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2021-5239756
9356,Xe Toyota Corolla Cross 1.8V 2022- 785 Triệu,Đăng ngày 10/11/2023. Xem 9 lượt,"Siêu thị Ô tô Hà Nội  Điện thoại:  0813 700 900   Địa chỉ: 389 Quốc Lộ 13, P.Hiệp Bình Phước, Quận Thủ Đức TP HCM  Website: sieuthioto.bonbanh.com",2022,Xe đã dùng,"25,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-5274507
9357,Xe Ford Everest Titanium 2.0L 4x2 AT 2022- 1 Tỷ 186 Triệu,Đăng ngày 10/11/2023. Xem 12 lượt,"Thái Nhật  Điện thoại:     Địa chỉ: 88 Nguyễn Xiển, Hạ Đình, Thanh Xuân Hà Nội   Xem gian hàng  ⇨",2022,Xe đã dùng,"10,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2022-5287530
9358,Xe Bentley Mulsanne Lemans Edition 2013- 8 Tỷ 900 Triệu,Đăng ngày 10/11/2023. Xem 8 lượt,Mr Đạt  Điện thoại:     Địa chỉ: 896 Đường Láng Hà Nội   Xem gian hàng  ⇨,2013,Xe đã dùng,"59,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  6.8 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-bentley-mulsanne-lemans-edition-2013-5274498
9359,Xe Toyota Corolla altis 1.8G AT 2018- 509 Triệu,Đăng ngày 10/11/2023. Xem 10 lượt,"Ngọc  Điện thoại:     Địa chỉ: 52 Lương Định Của, P An Khánh, Tp Thủ Đức TP HCM   Xem gian hàng  ⇨",2018,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Nâu,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2018-5289081
9360,Xe BMW X3 xDrive30i xLine 2019- 1 Tỷ 639 Triệu,Đăng ngày  9/11/2023. Xem 27 lượt,"Mr Minh  Điện thoại:     Địa chỉ: 713 Lạc Long Quân, Tây Hồ Hà Nội   Xem gian hàng  ⇨",2019,Xe đã dùng,"20,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-bmw-x3-xdrive30i-xline-2019-5191110
9361,Xe Mercedes Benz GLC 250 4Matic 2016- 825 Triệu,Đăng ngày  9/11/2023. Xem 34 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2016,Xe đã dùng,"61,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Bạc,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2016-5283689
9362,Xe Toyota Vios E 1.5 MT 2022- 415 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2022,Xe đã dùng,"17,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.5 L,Cát,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2022-5274262
9363,Xe Mercedes Benz Maybach S450 4Matic 2017- 4 Tỷ 150 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,Mr Dũng  Điện thoại:     Địa chỉ: 25A Lê Văn Lương - Trung Hoà - Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2017,Xe đã dùng,"5,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-maybach-s450-4matic-2017-5289077
9364,Xe Toyota Raize G 1.0 CVT 2023- 560 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Toyota Bình Dương  Điện thoại:  0963 922 343    Hoặc  0901 239 804    Địa chỉ: Ms Trâm - Lô C13A, Đường Hùng Vương, Phường Hoà Phú, Thành phố Thủ Dầu Một Bình Dương  Website: toyotabinhduong.bonbanh.com",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  1.0 L,Vàng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2023-4238957
9365,Xe Mercedes Benz C class C300 AMG 2019- 1 Tỷ 239 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,Trần Công  Điện thoại:     Địa chỉ: Tp. Hcm TP HCM   Xem gian hàng  ⇨,2019,Xe đã dùng,"22,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2019-5258340
9366,Xe Hyundai i10 1.2 AT 2023- 413 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,"Hyundai Ngọc Phát  Điện thoại:  0938 212 287   Địa chỉ: 26/6, Khu phố 1, P Bửu Long, TP Biên Hòa Đồng Nai  Website: hyundaingocphat.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-i10-1.2-at-2023-4922254
9367,Xe Mazda CX5 2.5 AT 2WD 2017- 575 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,Ô Tô Cầu Giấy  Điện thoại:  0938 822 992    Hoặc  0946 866 891    Địa chỉ: 32B Phạm Văn Đồng Hà Nội  Website: otocaugiay.bonbanh.com,2017,Xe đã dùng,"47,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-2.5-at-2wd-2017-5287278
9368,Xe Mitsubishi Pajero 3.0 4x4 AT 2015- 410 Triệu,Đăng ngày 10/11/2023. Xem 12 lượt,"Nguyễn Thường  Điện thoại:     Địa chỉ: A5 Đinh Núp - Nguyễn Chánh, Cầu Giấy Hà Nội   Xem gian hàng  ⇨",2015,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-pajero-3.0-4x4-at-2015-5289082
9369,Xe Ford Ranger Raptor 2.0L 4x4 AT 2020- 955 Triệu,Đăng ngày 10/11/2023. Xem 9 lượt,"Auto 62  Điện thoại:  0925 409 999   Địa chỉ: 99 Trương Công Giai, P. Yên Hòa, Q. Cầu Giấy Hà Nội  Website: auto62.bonbanh.com",2020,Xe đã dùng,"40,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2020-5289063
9370,Xe Mercedes Benz C class C250 CGI 2009- 255 Triệu,Đăng ngày  9/11/2023. Xem 20 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2009,Xe đã dùng,"96,560 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-c_class-c250-cgi-2009-5212336
9371,Xe Toyota Fortuner 2.7V 4x2 AT 2015- 489 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2015,Xe đã dùng,"75,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,Ghi,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2015-5134031
9372,Xe Kia Rio 1.4 AT 2016- 332 Triệu,Đăng ngày  9/11/2023. Xem 17 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2016,Xe đã dùng,"71,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.4 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-kia-rio-1.4-at-2016-5236646
9373,Xe Toyota Fortuner 2.7V 4x2 AT 2019- 785 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2019,Xe đã dùng,"63,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  2.7 L,Nâu,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2019-5254742
9374,Xe Nissan Navara EL 2.5 AT 2WD 2019- 445 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2019,Xe đã dùng,"85,000 Km",Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-nissan-navara-el-2.5-at-2wd-2019-5276697
9375,Xe Hyundai Elantra 1.6 MT 2018- 375 Triệu,Đăng ngày  9/11/2023. Xem 23 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2018,Xe đã dùng,"58,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.6 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-elantra-1.6-mt-2018-5274273
9376,Xe Suzuki Swift GLX 1.2 AT 2019- 425 Triệu,Đăng ngày 10/11/2023. Xem 9 lượt,"Salon Auto Tân Tiến  Điện thoại:  0913 223 917    Hoặc  0915 686 899    Địa chỉ: 244 Phố Tây Sơn, Thị trấn Phùng, Đan Phượng Hà Nội  Website: autotantien.bonbanh.com",2019,Xe đã dùng,"40,000 Km",Nhập khẩu,Hatchback,Số tự động,Xăng  1.2 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-suzuki-swift-glx-1.2-at-2019-5145767
9377,Xe Mazda BT50 2.2L 4x4 MT 2016- 380 Triệu,Đăng ngày  9/11/2023. Xem 21 lượt,"Salon Ô tô Tâm Đức  Điện thoại:  0973 710 256    Hoặc  0858 381 996    Địa chỉ: 262 Nguyễn Xiển, Thanh Xuân Hà Nội  Website: ototamduc.bonbanh.com",2016,Xe đã dùng,"90,000 Km",Nhập khẩu,Bán tải / Pickup,Số tay,Dầu  2.2 L,Xanh,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-bt50-2.2l-4x4-mt-2016-5289052
9378,Xe Suzuki Super Carry Van Blind Van 2021- 225 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,"Ngân Hà Auto  Điện thoại:  0987 987 668   Địa chỉ: Số 66 Hoàng Quán Chi, Yên Hòa, Cầu Giấy Hà Nội  Website: nganhaauto.bonbanh.com",2021,Xe đã dùng,0 Km,Lắp ráp trong nước,Van/Minivan,Số tay,Xăng  1.0 L,Trắng,,2 chỗ,4 cửa,,https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2021-5053763
9379,Xe Ford Territory Titanium 1.5 AT 2023- 785 Triệu,Đăng ngày  9/11/2023. Xem 11 lượt,Hoàng Linh  Điện thoại:     Địa chỉ: Nam Từ Liêm Hà Nội   Xem gian hàng  ⇨,2023,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2023-5156142
9380,Xe BMW X6 xDrive40i M Sport 2023- 4 Tỷ 299 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"BMW Giải Phóng  Điện thoại:  0919 904 929   Địa chỉ: Số 5 Đường Ngọc Hồi, Hoàng Liệt, Hoàng Mai Hà Nội  Website: bmwgiaiphong.bonbanh.com",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-bmw-x6-xdrive40i-m-sport-2023-5192150
9381,Xe Ford Territory Titanium 1.5 AT 2023- 799 Triệu,Đăng ngày 10/11/2023. Xem 5 lượt,Ms Hương  Điện thoại:     Địa chỉ: Số 3 Nguyễn Văn Linh- Gia Thụy- Long Biên Hà Nội   Xem gian hàng  ⇨,2023,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-territory-titanium-1.5-at-2023-5287736
9382,Xe Volkswagen Touareg Luxury 2.0 TSI 2023- 2 Tỷ 699 Triệu,Đăng ngày 10/11/2023. Xem 8 lượt,"Lê Trọng Thược  Điện thoại:     Địa chỉ: 115 Lý Chính Thắng, P Võ Thị Sáu, Quận 3, Tp Hcm TP HCM   Xem gian hàng  ⇨",2023,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-volkswagen-touareg-luxury-2.0-tsi-2023-5228236
9383,Xe Mercedes Benz S class S450 4Matic Luxury 2023- 5 Tỷ 489 Triệu,Đăng ngày 10/11/2023. Xem 6 lượt,"Mạnh Thắng  Điện thoại:     Địa chỉ: 46 Láng Hạ, Đống Đa Hà Nội   Xem gian hàng  ⇨",2023,Xe đã dùng,20 Km,Nhập khẩu,Sedan,Số tự động,Xăng  3.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-s_class-s450-4matic-luxury-2023-5250419
9384,Xe Mercedes Benz GLC 300 4Matic 2016- 929 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2016,Xe đã dùng,"75,623 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2016-5247137
9385,Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2022- 1 Tỷ 420 Triệu,Đăng ngày  9/11/2023. Xem 11 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2022,Xe đã dùng,"6,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Nâu,,7 chỗ,5 cửa,,https://bonbanh.com/xe-ford-everest-titanium-plus-2.0l-4x4-at-2022-5254756
9386,Xe Honda City 1.5TOP 2017- 388 Triệu,Đăng ngày  9/11/2023. Xem 26 lượt,Pham Tuan  Điện thoại:      Hoặc  0961 290 199    Địa chỉ: Hà Nội Hà Nội,2017,Xe đã dùng,"53,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-honda-city-1.5top-2017-5285334
9387,Xe Toyota Camry SE 2.5 AT 2015- 1 Tỷ 190 Triệu,Đăng ngày  9/11/2023. Xem 38 lượt,"Salon Auto Tân Tiến  Điện thoại:  0913 223 917    Hoặc  0915 686 899    Địa chỉ: 244 Phố Tây Sơn, Thị trấn Phùng, Đan Phượng Hà Nội  Website: autotantien.bonbanh.com",2015,Xe đã dùng,"25,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-se-2.5-at-2015-4586014
9388,Xe Mercedes Benz GLC 250 4Matic 2019- 1 Tỷ 345 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,"Mr Sơn  Điện thoại:     Địa chỉ: Dương Đình Nghệ, Cầu Giấy Hà Nội",2019,Xe đã dùng,"80,450 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2019-5114706
9389,Xe VinFast Lux A 2.0 Plus 2.0 AT 2020- 575 Triệu,Đăng ngày 10/11/2023. Xem 6 lượt,Auto 266  Điện thoại:  0563 126 666   Địa chỉ: 266 Nguyễn Xiển - Thanh Xuân Hà Nội  Website: auto266.bonbanh.com,2020,Xe đã dùng,"32,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-vinfast-lux_a_2.0-plus-2.0-at-2020-5252781
9390,Xe BMW 5 Series 520i 2013- 480 Triệu,Đăng ngày 10/11/2023. Xem 12 lượt,"Mr. Khải  Điện thoại:     Địa chỉ: 12 Lâm Hạ, Bồ Đề, Long Biên Hà Nội   Xem gian hàng  ⇨",2013,Xe đã dùng,"62,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-bmw-5_series-520i-2013-5212178
9391,Xe Mazda CX5 Deluxe 2.0 AT 2022- 710 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"Used Car Việt Nam  Điện thoại:  0912 495 987   Địa chỉ: 77 Mai Phúc, Phúc Đồng, Long Biên Hà Nội  Website: usedcarvietnam.bonbanh.com",2022,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-deluxe-2.0-at-2022-5278434
9392,Xe Chevrolet Trailblazer LTZ 2.5L VGT 4x4 AT 2018- 680 Triệu,Đăng ngày 10/11/2023. Xem 6 lượt,Auto Bảo Phương Duy  Điện thoại:  0905 218 338   Địa chỉ: Số 390 Nguyễn Hữu Thọ Đà Nẵng  Website: autobaophuongduy.bonbanh.com,2018,Xe đã dùng,"38,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.5 L,Ghi,,7 chỗ,5 cửa,,https://bonbanh.com/xe-chevrolet-trailblazer-ltz-2.5l-vgt-4x4-at-2018-5067349
9393,Xe Toyota Corolla Cross 1.8V 2022- 770 Triệu,Đăng ngày 10/11/2023. Xem 13 lượt,Lê Phong  Điện thoại:     Địa chỉ: 52 Lương Định Của TP HCM   Xem gian hàng  ⇨,2022,Xe đã dùng,"27,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  1.8 L,Xám,,5 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2022-5274865
9394,Xe Renault Megane 1.6 AT 2016- 580 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Salon Ô tô Siu Hùng  Điện thoại:  0903 199 921   Địa chỉ: 138 Cộng Hòa, P4, Q. Tân Bình TP HCM  Website: otosiuhung.bonbanh.com",2016,Xe đã dùng,0 Km,Nhập khẩu,Hatchback,Số tự động,Xăng  1.6 L,Nâu,,5 chỗ,5 cửa,,https://bonbanh.com/xe-renault-megane-1.6-at-2016-5101153
9395,Xe Mitsubishi Triton Athlete 4x2 AT 2023- 675 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Đàm Nguyễn  Điện thoại:     Địa chỉ: 19 Trần Thủ Độ, KĐT Pháp Vân, Hoàng Liệt, Hoàng Mai Hà Nội   Xem gian hàng  ⇨",2023,Xe mới,,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu  2.4 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mitsubishi-triton-athlete-4x2-at-2023-4989872
